date,scheme_code,scheme_name,provider,category,plan,option,nav,isin_growth,isin_reinvest
2025-10-28,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.104,INF966L30035,INF966L30043
2025-10-28,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.0943,INF966L30027,
2025-10-28,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.0932,INF966L30050,INF966L30068
2025-10-28,SIF-5,qsif Hybrid Long-Short Fund - Growth Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth Option,10.0244,INF966L30076,
2025-10-28,SIF-6,qsif Hybrid Long-Short Fund - IDCW Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW Option,10.0236,INF966L30092,INF966L30100
2025-10-28,SIF-7,qsif Hybrid Long-Short Fund - Growth Option - Regular Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth Option,10.0181,INF966L30084,
2025-10-28,SIF-9,Altiva Hybrid Long-Short Fund - Direct Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.0156,INF754K30011,
2025-10-29,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.1625,INF966L30019,
2025-10-29,SIF-10,Altiva Hybrid Long-Short Fund - Direct Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.0233,INF754K30029,INF754K30037
2025-10-29,SIF-11,Altiva Hybrid Long-Short Fund - Regular Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,10.0206,INF754K30052,
