Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.65;26-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.63;27-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.65;28-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.60;31-Aug-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.54;01-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.51;02-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.58;03-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.60;04-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.54;07-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.51;08-Sep-2026
SIF-149;Summit Equity Long-Short Fund - Direct Plan - Growth;Direct Plan;Growth;INF205K30048;;10.45;09-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;9.98;24-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.03000000;27-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.05000000;28-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.08000000;29-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.20000000;30-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.23000000;31-Jul-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.30000000;03-Aug-2026
